date,SPX,FTSE,DAX,N225,HSI,CAC
2005-04-14,-0.0100017804,-0.0031043184,-0.0008262353,-0.0063887849,-0.0019724983,-0.0013943268
2005-04-15,-0.0167204964,-0.0108787572,-0.0203995431,-0.0166459105,-0.0097042191,-0.0191748303
2005-04-18,0.0029405974,-0.0131858694,-0.0255202747,-0.0380144023,-0.0207877944,-0.0205069938
2005-04-19,0.0059338286,0.0059041659,0.0005734301,0.0116488198,0.0066535261,0.0032407932
2005-04-20,-0.0132549393,-0.0069198651,-0.0061812503,0.0020531369,0.0042799505,-0.0031218213
2005-04-21,0.0197362208,-0.0004976985,0.0036088655,-0.0093961922,0.0070865287,0.0002531633
2005-04-22,-0.0067502534,0.0061622762,0.0069961710,0.0056043666,0.0070778880,0.0073803504
2005-04-25,0.0086622752,0.0032169794,0.0056641475,0.0025185100,0.0041392236,0.0032385814
2005-04-26,-0.0088374664,-0.0039877290,-0.0031081516,-0.0034260649,0.0079525656,-0.0000075204
2005-04-27,0.0039502783,-0.0115777727,-0.0105673795,-0.0027555840,-0.0014387470,-0.0163685079
2005-04-28,-0.0113803716,0.0001670967,-0.0026067963,0.0003162504,0.0050420586,-0.0041322055
2005-05-06,0.0246059425,0.0268672919,0.0318230674,0.0166473966,0.0089536472,0.0311930387
2005-05-09,0.0063943231,-0.0017483783,-0.0043260595,-0.0018628746,0.0036432969,-0.0032899842
2005-05-10,-0.0107054354,-0.0036453787,-0.0096170384,-0.0010616786,-0.0047362112,-0.0049599501
2005-05-11,0.0041930466,-0.0034747773,-0.0016394998,-0.0034732654,-0.0056055035,-0.0051796689
2005-05-12,-0.0100332165,0.0036714737,0.0053932103,-0.0038450606,0.0020431046,0.0090764168
2005-05-13,-0.0045800585,-0.0013896154,0.0020272533,-0.0026024764,-0.0072643662,0.0005578151
2005-05-17,0.0171136425,0.0024557454,-0.0055967852,-0.0202478477,-0.0144070124,-0.0029119641
2005-05-18,0.0100187504,0.0103909161,0.0171293550,0.0009256487,-0.0029282519,0.0167141254
2005-05-19,0.0046559408,0.0026872537,0.0082828061,0.0223111074,0.0052777479,0.0031499155
2005-05-20,-0.0015111721,0.0018336005,0.0000596855,-0.0035993085,0.0013497576,0.0024963890
2005-05-23,0.0038510325,0.0036204193,0.0106107345,0.0109954845,-0.0013333440,0.0054172279
2005-05-24,0.0001758673,-0.0014629454,-0.0023394997,-0.0022404143,0.0014738476,-0.0039603188
2005-05-25,-0.0034000827,-0.0022077270,-0.0016148917,-0.0107081414,-0.0114627211,-0.0004363756
2005-05-26,0.0063948919,0.0047068093,0.0107209544,0.0012266402,0.0005847684,0.0090261777
2005-05-27,0.0009686162,-0.0017217758,0.0018279455,0.0149066500,0.0106698705,-0.0013172198
2005-05-31,-0.0060728650,-0.0044722150,0.0035817684,0.0075283489,0.0111040816,-0.0026864845
2005-06-01,0.0089970379,0.0094681708,0.0149171845,0.0047071037,0.0004326797,0.0139586966
2005-06-02,0.0017218715,-0.0011973658,0.0011044428,-0.0043796613,-0.0042160987,0.0013092120
2005-06-03,-0.0068671327,-0.0011189006,-0.0048055977,0.0017730418,0.0002801473,-0.0050792115
2005-06-06,0.0012457904,-0.0038004561,-0.0029111387,-0.0026043856,0.0030466231,-0.0038438713
2005-06-07,-0.0002087665,0.0090153207,0.0152870867,-0.0047175684,-0.0016781272,0.0082648657
2005-06-08,-0.0021632442,-0.0042981733,-0.0019097039,0.0056679617,0.0044271505,-0.0022460464
2005-06-09,0.0052399487,0.0010991866,0.0011980719,-0.0106506576,-0.0000172849,-0.0042288795
2005-06-10,-0.0023482370,0.0042321541,0.0051175492,0.0128440219,0.0026226352,0.0073163839
2005-06-13,0.0022618632,0.0039758270,0.0028586082,0.0006439445,0.0012386124,0.0046342430
2005-06-14,0.0025733149,-0.0007128342,-0.0016350677,0.0021579928,-0.0033837367,-0.0013679109
2005-06-15,0.0022177088,-0.0054093298,-0.0094235500,0.0070536808,0.0006825145,-0.0031875177
2005-06-16,0.0036300992,0.0050801873,0.0069145320,0.0000437986,-0.0058047859,0.0001888076
2005-06-17,0.0049547468,0.0064618628,0.0053931021,0.0085535337,0.0056746180,0.0085445575
2005-06-20,-0.0007066669,-0.0011029025,-0.0038461706,-0.0026646329,0.0024251858,-0.0065176118
2005-06-21,-0.0020475210,0.0019913442,0.0046327990,0.0004694297,0.0024079043,0.0068250388
2005-06-22,0.0002224928,0.0033843700,0.0024934810,0.0050954272,0.0129955919,0.0017834556
