date,code,symbol,close,adj_close
2005-01-03,SPX,^GSPC,1202.07995605,1202.07995605
2005-01-04,SPX,^GSPC,1188.05004883,1188.05004883
2005-01-05,SPX,^GSPC,1183.73999023,1183.73999023
2005-01-06,SPX,^GSPC,1187.89001465,1187.89001465
2005-01-07,SPX,^GSPC,1186.18994141,1186.18994141
2005-01-10,SPX,^GSPC,1190.25000000,1190.25000000
2005-01-11,SPX,^GSPC,1182.98999023,1182.98999023
2005-01-12,SPX,^GSPC,1187.69995117,1187.69995117
2005-01-13,SPX,^GSPC,1177.44995117,1177.44995117
2005-01-14,SPX,^GSPC,1184.52001953,1184.52001953
2005-01-18,SPX,^GSPC,1195.97998047,1195.97998047
2005-01-19,SPX,^GSPC,1184.63000488,1184.63000488
2005-01-20,SPX,^GSPC,1175.41003418,1175.41003418
2005-01-21,SPX,^GSPC,1167.86999512,1167.86999512
2005-01-24,SPX,^GSPC,1163.75000000,1163.75000000
2005-01-25,SPX,^GSPC,1168.41003418,1168.41003418
2005-01-26,SPX,^GSPC,1174.06994629,1174.06994629
2005-01-27,SPX,^GSPC,1174.55004883,1174.55004883
2005-01-28,SPX,^GSPC,1171.35998535,1171.35998535
2005-01-31,SPX,^GSPC,1181.27001953,1181.27001953
2005-02-01,SPX,^GSPC,1189.41003418,1189.41003418
2005-02-02,SPX,^GSPC,1193.18994141,1193.18994141
2005-02-03,SPX,^GSPC,1189.89001465,1189.89001465
2005-02-04,SPX,^GSPC,1203.03002930,1203.03002930
2005-02-07,SPX,^GSPC,1201.71997070,1201.71997070
2005-02-08,SPX,^GSPC,1202.30004883,1202.30004883
2005-02-09,SPX,^GSPC,1191.98999023,1191.98999023
2005-02-10,SPX,^GSPC,1197.01000977,1197.01000977
2005-02-11,SPX,^GSPC,1205.30004883,1205.30004883
2005-02-14,SPX,^GSPC,1206.14001465,1206.14001465
2005-02-15,SPX,^GSPC,1210.11999512,1210.11999512
2005-02-16,SPX,^GSPC,1210.33996582,1210.33996582
2005-02-17,SPX,^GSPC,1200.75000000,1200.75000000
2005-02-18,SPX,^GSPC,1201.58996582,1201.58996582
2005-02-22,SPX,^GSPC,1184.16003418,1184.16003418
2005-02-23,SPX,^GSPC,1190.80004883,1190.80004883
2005-02-24,SPX,^GSPC,1200.19995117,1200.19995117
2005-02-25,SPX,^GSPC,1211.36999512,1211.36999512
2005-02-28,SPX,^GSPC,1203.59997559,1203.59997559
2005-03-01,SPX,^GSPC,1210.41003418,1210.41003418
2005-03-02,SPX,^GSPC,1210.07995605,1210.07995605
2005-03-03,SPX,^GSPC,1210.46997070,1210.46997070
2005-03-04,SPX,^GSPC,1222.11999512,1222.11999512
2005-03-07,SPX,^GSPC,1225.31005859,1225.31005859
2005-03-08,SPX,^GSPC,1219.43005371,1219.43005371
